t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
0.01999999,0,0,0,0,0,1,0,0,0,0,-0.8,0
0.03999998,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0
0.05999998,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0
0.07999997,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0
0.09999996,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0
0.12,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0
0.14,0,0,0.12,0,0,1,0,0,0,0,-0.8,0
0.1599999,0,0,0.14,0,0,1,0,0,0,0,-0.8,0
0.1799999,0,0,0.16,0,0,1,0,0,0,0,-0.8,0
0.1999999,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0
0.2199999,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0
0.2399999,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0
0.2599999,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0
0.2799999,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0
0.2999999,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0
0.3199999,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0
0.3399999,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0
0.3599999,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0
0.3799999,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0
0.3999999,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0
0.4199998,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0
0.4399998,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0
0.4599998,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0
0.4799998,0,0,0.4599997,0,0,1,0,0,0.009999737,0.2009947,-0.8,0
0.4999998,0,0,0.4797987,0,0,0.9899502,0,0,0.02979873,0.5989545,-0.8,0
0.5199998,0,0,0.4989988,0,0,0.9600025,0,0,0.04899879,0.9848757,-0.8,0
0.5399998,0,0,0.5172139,0,0,0.9107588,0,0,0.06721394,1.351,-0.8,0
0.5599998,0,0,0.5340781,0,0,0.8432088,0,0,0.08407812,1.68997,-0.8,0
0.5799998,0,0,0.5492523,0,0,0.7587103,0,0,0.09925233,1.994972,-0.8,0
0.5999998,0,0,0.5624316,0,0,0.6589618,0,0,0.1124316,2.259875,-0.8,0
0.6199998,0,0,0.5733509,0,0,0.5459681,0,0,0.1233509,2.479353,-0.8,0
0.6399997,0,0,0.5817909,0,0,0.4220005,0,0,0.1317909,2.648998,-0.8,0
0.6599998,0,0,0.5875819,0,0,0.2895507,0,0,0.1375819,2.765397,-0.8,0
0.6799998,0,0,0.5906075,0,0,0.1512809,0,0,0.1406075,2.826211,-0.8,0
0.6999997,0,0,0.590807,0,0,0.009970382,0,0,0.140807,2.83022,-0.8,0
0.7199997,0,0,0.5881761,0,0,-0.1315406,0,0,0.1381761,2.77734,-0.8,0
0.7399997,0,0,0.582768,0,0,-0.2704075,0,0,0.132768,2.668636,-0.8,0
0.7599998,0,0,0.5746912,0,0,-0.4038392,0,0,0.1246912,2.506293,-0.8,0
0.7799997,0,0,0.5641081,0,0,-0.5291538,0,0,0.1141081,2.293573,-0.8,0
0.7999997,0,0,0.5512315,0,0,-0.6438324,0,0,0.1012315,2.034753,-0.8,0
0.8199997,0,0,0.5363201,0,0,-0.7455701,0,0,0.08632009,1.735034,-0.8,0
0.8399997,0,0,0.5196736,0,0,-0.8323217,0,0,0.06967364,1.40044,-0.8,0
0.8599997,0,0,0.5016268,0,0,-0.9023437,0,0,0.05162679,1.037698,-0.8,0
0.8799997,0,0,0.4825422,0,0,-0.9542286,0,0,0.03254221,0.6540985,-0.8,0
0.8999997,0,0,0.4628035,0,0,-0.9869335,0,0,0.01280354,0.2573512,-0.8,0
0.9199997,0,0,0.4428075,0,0,-0.999801,0,0,0,0,-0.8,0
0.9399996,0,0,0.4228115,0,0,-0.999801,0,0,0,0,-0.8,0
0.9599997,0,0,0.4028155,0,0,-0.999801,0,0,0,0,-0.8,0
0.9799997,0,0,0.3828195,0,0,-0.999801,0,0,0,0,-0.8,0
0.9999996,0,0,0.3628235,0,0,-0.999801,0,0,0,0,-0.8,0
